Title,URL,Status,Last Activity,First Opened,Favicon,Window ID,Tab ID
"Tab Logger - Simplify History - Chrome Web Store","https://chromewebstore.google.com/detail/tab-logger-simplify-histo/iopaidaibhkgeimaojeelbbagkdhemok?utm_source=ext_app_menu","Closed","10/26/2025, 10:10:40","10/26/2025, 10:08:48","https://ssl.gstatic.com/chrome/webstore/images/icon_48px.png","",""
"(22) Grandmaster Lobby Live Rank Push Free Fire Telugu - Munna Bhai is Live - Telugu Gaming Live #MBG - YouTube","https://www.youtube.com/watch?v=w_PdwhiVS-Y","Closed","10/26/2025, 11:21:34","10/26/2025, 11:21:08","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"perplxity - Yahoo India Search Results","https://in.search.yahoo.com/search?fr=mcafee&type=G210IN885G91958Mc10b3da41207bf73bd6fe9295163c2bc&p=perplxity","Closed","10/26/2025, 11:40:47","10/26/2025, 11:22:37","https://in.search.yahoo.com/favicon.ico","",""
"facebook - Yahoo India Search Results","https://in.search.yahoo.com/search?fr=mcafee&type=G210IN885G91958Mc10b3da41207bf73bd6fe9295163c2bc&p=facebook","Closed","10/26/2025, 11:41:15","10/26/2025, 11:24:56","https://in.search.yahoo.com/favicon.ico","",""
"(32) YouTube","https://www.youtube.com/","Closed","10/27/2025, 13:41:59","10/26/2025, 11:20:38","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(32) HP Omen 16 Max Gaming Laptop – ₹3,09,000 Gaming Beast with Omen AI! 🔥 - YouTube","https://www.youtube.com/watch?v=fnw_8doB1cg","Closed","10/27/2025, 13:43:28","10/27/2025, 13:43:27","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(32) ajude - YouTube","https://www.youtube.com/results?search_query=ajude","Closed","10/27/2025, 13:45:01","10/27/2025, 13:44:58","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(32) na anveshana videos - YouTube","https://www.youtube.com/results?search_query=na+anveshana+videos","Closed","10/27/2025, 13:45:10","10/27/2025, 13:45:09","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(32) Naa Anveshana - YouTube","https://www.youtube.com/@NaaAnveshana","Closed","10/27/2025, 13:45:13","10/27/2025, 13:45:12","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(32) Naa Anveshana - YouTube","https://www.youtube.com/@NaaAnveshana/videos","Closed","10/27/2025, 13:45:15","10/27/2025, 13:45:15","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(32) What to do in la paz bolivia - YouTube","https://www.youtube.com/watch?v=4keS_hc4rQc","Closed","10/27/2025, 13:45:29","10/26/2025, 11:39:43","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(27) LinkedIn","https://www.linkedin.com/jobs/search-results/?distance=25.0&f_TPR=r6400&geoId=102713980&keywords=data%20analyst%20intern&origin=HISTORY","Closed","10/27/2025, 15:01:33","10/27/2025, 15:01:28","https://static.licdn.com/aero-v1/sc/h/3loy7tajf3n0cho89wgg0fjre","",""
